시설종별,시설명,소재지,시설규모,전화,FAX,이용자수,종사자,주요프로그램,소유자,비고,데이터기준일자
직업재활시설,우리꿈터,"경기도 성남시 분당구 황새울로311번길 9, 1006호(서현동)",건물 270㎡,031-8039-6250,070-4032-6221,24,4,직업훈련,사회복지법인(분당우리복지재단),직업적응,2024-06-14
직업재활시설,아지오트렌드,"경기도 성남시 중원구 둔촌대로 555 신일테크노피아 1012호, 510호",396.8㎡,031-733-9249,,20,4,작업훈련,사회적협동조합 구두만드는 풍경,직업적응,2024-06-14
직업재활시설,하나테크 보호작업장,경기도 성남시 중원구 사기막골로 124 SKn테크노파크 메가센터 1008호(상대원동 190-1),178.71㎡,031-776-2190,,30,3,작업훈련,세종 사회적협동조합,보호작업장,2024-06-14
직업재활시설,할렐루야 보호작업장,"경기도 성남시 중원구 사기막골로105번길25, 중앙인더스피아2 603-2호",194.27㎡,031-743-7942,,20,3,직업훈련,사회복지법인 할렐루야복지재단,보호작업장,2024-06-14
학습원(1),율동생태학습원,경기도 성남시 분당구 문정로 145 (율동),건물 799.24㎡(관리동1 온실동 1),031-724-0848,031-724-0847,100,6,원예체험+재활치료,위탁(지구촌사회복지재단),학습원,2024-06-14
기타,장애인편의시설 기술지원센터,"경기도 성남시 수정구 수정남로 10, 201호(수진동, 제일플라자)",건물 10㎡,031-735-5826,031-732-4394,,4,편의시설협의,성남시지체장애인협회,기타,2024-06-14
기타,장애인권리증진센터,경기도 성남시 분당구 야탑로 227 (야탑동),건물 69㎡,031-725-9508,,60,7,권리구제+일자리사업,사회복지법인(밀알복지재단),기타,2024-06-14
기타,성남시장애인가족지원센터,"경기도 성남시 수정구 성남대로 1334, 3층(태평동)",건물 826.44㎡,031-753-7926,031-753-0039,18,11,장애인가족지원+발달장애인평생교육,사회복지법인 할렐루야복지재단,기타,2024-06-14
거주시설,소망재활원,경기도 성남시 중원구 산성대로476번길 12 (금광동),대지 2522.9㎡ 건물2772.95㎡,031-741-3001,031-736-3010,70,53,재활자립지도,사회양친사회복지회,법인,2024-06-14
거주시설,예 가 원,경기도 성남시 분당구 새나리로38번길 13 (야탑동),대지 1356㎡ 건물 1122.74㎡,031-705-2366,031-708-7223,53,44,재활자립지도,사회)무지개동산,법인,2024-06-14
거주시설,우리공동체,경기도 성남시 중원구 중원구 박석로 12(상대원동),대지 231.3㎡ 건물 200.28㎡,031-733-5045,031-733-0255,18,5,재활자립지도,지하1+지상2+본인소유,개인,2024-06-14
거주시설,다사랑마을,경기도 성남시 수정구 성남대로1379번길 25(복정동),대지 267.18㎡ 건물 166.6㎡,031-754-6128,031-755-6129,15,6,재활자립지도,지하1+지상2+본인소유,개인,2024-06-14
거주시설,열린사랑의집,경기도 성남시 수정구 탄리로 54 (신흥동),건물 297.3㎡,031-734-3309,031-748-3309,25,7,재활자립지도,월세(2층),개인,2024-06-14
거주시설,에덴의집,경기도 성남시 중원구 금빛로42번길 9-1 (금광동),건물 179.19㎡,031-733-5137,031-733-5139,17,5,재활자립지도,본인소유(2층),개인,2024-06-14
거주시설,한우리 단기거주시설,"경기도 성남시 중원구 순환로226번길 8, 2층 (상대원동)",대지 1664㎡ 건물416.6㎡,031-734-9942,031-733-9669,15,8,교육지도,위탁(사단법인지체협회),단기거주시설,2024-06-14
거주시설,기쁨의집(공동생활가정),"경기도 성남시 수정구 희망로466번길 23-12, 101호(단대동)",건물 90.87㎡ 기쁨:733-0082(여),031-733-0082,031-733-0801,4,2,사회적응지도,사회복지법인 할렐루야복지재단,공동생활 가정,2024-06-14
거주시설,소망의집(공동생활가정),"경기도 성남시 수정구 남문로74번길 3, 201호(태평동)",건물 104.6㎡ 소망:733-1997(남),031-733-1997,031-733-6166,4,2,사회적응지도,사회복지법인 할렐루야복지재단,공동생활 가정,2024-06-14
거주시설,쉴만한물가(공동생활가정),"경기도 성남시 중원구 광명로42번길 11-4, 401호(성남동)",건물 108.41㎡,031-757-9199,031-717-9456,4,2,사회적응지도,사회복지법인(말아톤복지재단),공동생활 가정,2024-06-14
거주시설,파란하늘(공동생활가정),"경기도 성남시 중원구 도촌남로 22, 103동102호(도촌동, 휴먼시아섬마을)",건물 84.94㎡,031-604-9309,031-604-9008,4,2,사회적응지도,사회복지법인(말아톤복지재단),공동생활 가정,2024-06-14
거주시설,푸른초원(공동생활가정),"경기도 성남시 중원구 도촌북로 78, 507동104호(도촌동, 휴먼시아섬마을)",건물 109.05㎡,031-604-9090,031-604-9091,4,2,사회적응지도,사회복지법인(말아톤복지재단),공동생활 가정,2024-06-14
거주시설,무지개1호(공동생활가정),"경기도 성남시 분당구 야탑로161번길 16-1, 301호 (야탑동)",건물 155.99㎡,031-701-4698,,4,2,사회적응지도,사회복지법인(무지개동산)-예가원,공동생활 가정,2024-06-14
거주시설,무지개2호(공동생활가정),"경기도 성남시 중원구 마지로53번길, 키카 302호 (하대원동)",건물 155.99㎡,031-759-7980,031-759-7981,4,2,사회적응지도,사회복지법인(무지개동산)-예가원,공동생활 가정,2024-06-14
거주시설,해피빌(공동생활가정),"경기도 성남시 중원구 순환로124번길 28, 301호(상대원동)",건물 107.01㎡,031-731-3002,031-736-3010,4,2,사회적응지도,사회복지법인(양친사회복지회),공동생활 가정,2024-06-14
거주시설,옥수(공동생활가정),"경기도 성남시 중원구 마지로 158-1, 401호(하대원동)",건물 115.75㎡,031-705-3398,031-722-3398,4,2,사회적응지도,사회복지법인(밀알복지재단),공동생활 가정,2024-06-14
거주시설,한결이네(공동생활가정),"경기도 성남시 중원구 마지로 51, 키카302호(하대원동)",건물 75.47㎡,031-753-5414,031-753-5415,4,2,사회적응지도,사)한국장애인부모회,공동생활 가정,2024-06-14
거주시설,가나안홈(공동생활가정),"경기도 성남시 중원구 박석로41번길 16-5, B동 402호(상대원동, 캐빈베르빌)",건물 62.87㎡,031-752-0546,,4,2,사회적응지도,사회복지법인)가나안복지재단,공동생활 가정,2024-06-14
거주시설,성남작은예수의집(공동생활가정),"경기도 성남시 중원구 제일로53번길 11-10, 1·2층 (성남동)",건물 179.4㎡,031-753-3327,031-756-8983,4,2,사회적응지도,재단법인 작은예수회,공동생활 가정,2024-06-14
거주시설,아름드리그룹홈(공동생활가정),"경기도 성남시 중원구 둔촌대로 363, 104동 203호(하대원동, 성남자이)",건물 124.42㎡,031-719-8142,,4,2,사회적응지도,사회복지법인(청남재단),공동생활 가정,2024-06-14
